dataset,figure,model,solution,value
LM,fig11_speedup_matg,TGN,MATG,1.0
LM,fig11_speedup_matg,TGN,ViTeGNN,3.1463
LM,fig11_speedup_matg,TGN,RTGA,1.3967
LM,fig11_speedup_matg,TGN,TempGNN,0.0015
LM,fig11_speedup_matg,TGAT,MATG,1.0
LM,fig11_speedup_matg,TGAT,ViTeGNN,3.1637
LM,fig11_speedup_matg,TGAT,RTGA,1.4053
LM,fig11_speedup_matg,TGAT,TempGNN,0.0015
LM,fig11_speedup_matg,APAN,MATG,1.0
LM,fig11_speedup_matg,APAN,ViTeGNN,2.5149
LM,fig11_speedup_matg,APAN,RTGA,1.3735
LM,fig11_speedup_matg,APAN,TempGNN,0.005
WT,fig11_speedup_matg,JODIE,MATG,1.0
WT,fig11_speedup_matg,JODIE,ViTeGNN,0.8828
WT,fig11_speedup_matg,JODIE,RTGA,0.7813
WT,fig11_speedup_matg,JODIE,TempGNN,0.0098
WT,fig11_speedup_matg,TGN,MATG,1.0
WT,fig11_speedup_matg,TGN,ViTeGNN,6.2311
WT,fig11_speedup_matg,TGN,RTGA,5.0747
WT,fig11_speedup_matg,TGN,TempGNN,0.0051
WT,fig11_speedup_matg,TGAT,MATG,1.0
WT,fig11_speedup_matg,TGAT,ViTeGNN,6.2391
WT,fig11_speedup_matg,TGAT,RTGA,5.0754
WT,fig11_speedup_matg,TGAT,TempGNN,0.0051
WT,fig11_speedup_matg,APAN,MATG,1.0
WT,fig11_speedup_matg,APAN,ViTeGNN,5.9938
WT,fig11_speedup_matg,APAN,RTGA,4.9032
WT,fig11_speedup_matg,APAN,TempGNN,0.0154
GT,fig11_speedup_matg,JODIE,MATG,1.0
GT,fig11_speedup_matg,JODIE,ViTeGNN,0.9503
GT,fig11_speedup_matg,JODIE,RTGA,0.8378
GT,fig11_speedup_matg,JODIE,TempGNN,0.0452
GT,fig11_speedup_matg,TGN,MATG,1.0
GT,fig11_speedup_matg,TGN,ViTeGNN,3.6748
GT,fig11_speedup_matg,TGN,RTGA,2.1217
GT,fig11_speedup_matg,TGN,TempGNN,0.0032
GT,fig11_speedup_matg,TGAT,MATG,1.0
GT,fig11_speedup_matg,TGAT,ViTeGNN,3.6879
GT,fig11_speedup_matg,TGAT,RTGA,2.13
GT,fig11_speedup_matg,TGAT,TempGNN,0.0032
GT,fig11_speedup_matg,APAN,MATG,1.0
GT,fig11_speedup_matg,APAN,ViTeGNN,3.0338
GT,fig11_speedup_matg,APAN,RTGA,2.0342
GT,fig11_speedup_matg,APAN,TempGNN,0.0104
AVG,fig11_speedup_matg,AVG,MATG,1.0
AVG,fig11_speedup_matg,AVG,ViTeGNN,3.3276
AVG,fig11_speedup_matg,AVG,RTGA,2.3194
AVG,fig11_speedup_matg,AVG,TempGNN,0.0164
