dataset,figure,figure_id,model,solution,source_id,source_kind,source_locator,source_sha256,value,value_note,x
RT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,82.2,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F4,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,7.2,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.8,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,78.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F5,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,9.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,10.5,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,81.1,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F6,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TGS (%),workbook_a,exact_workbook_value,Sheet1!C7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,14.2,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,MG (%),workbook_a,exact_workbook_value,Sheet1!D7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.8,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,VMU (%),workbook_a,exact_workbook_value,Sheet1!E7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,78.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,JODIE,TA (%),workbook_a,exact_workbook_value,Sheet1!F7,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,72.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.2,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.8,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F8,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,21.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,68.8,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.8,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.1,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F9,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,24.3,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,74.1,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.9,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.5,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F10,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,20.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,65.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F11,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,26.8,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,80.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.1,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F12,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TGS (%),workbook_a,exact_workbook_value,Sheet1!C13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,84.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,MG (%),workbook_a,exact_workbook_value,Sheet1!D13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,2.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,VMU (%),workbook_a,exact_workbook_value,Sheet1!E13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,1.1,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGAT,TA (%),workbook_a,exact_workbook_value,Sheet1!F13,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,11.9,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,44.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.8,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,34.2,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F14,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,41.2,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,33.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F15,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.8,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,46.8,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,34.8,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F16,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,13.2,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,42.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.1,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,32.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F17,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.9,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,55.4,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,29.8,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F18,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,10.6,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,61.2,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,MG (%),workbook_a,exact_workbook_value,Sheet1!D19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,27.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,TGN,TA (%),workbook_a,exact_workbook_value,Sheet1!F19,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,7.8,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,54.5,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.8,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.2,Exact numeric cell from the author plotting workbook.,
WK,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F20,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,21.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,50.2,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,17.5,Exact numeric cell from the author plotting workbook.,
MC,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F21,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,25.8,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,56.8,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,5.2,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,19.5,Exact numeric cell from the author plotting workbook.,
RT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F22,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,52.5,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,6.1,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,16.8,Exact numeric cell from the author plotting workbook.,
LM,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F23,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,24.6,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,62.4,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,18.2,Exact numeric cell from the author plotting workbook.,
WT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F24,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.2,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TGS (%),workbook_a,exact_workbook_value,Sheet1!C25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,68.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,MG (%),workbook_a,exact_workbook_value,Sheet1!D25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,3.5,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,VMU (%),workbook_a,exact_workbook_value,Sheet1!E25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.8,Exact numeric cell from the author plotting workbook.,
GT,fig2_execution_breakdown,fig2_execution_breakdown,APAN,TA (%),workbook_a,exact_workbook_value,Sheet1!F25,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,12.2,Exact numeric cell from the author plotting workbook.,
AVG,fig2_execution_breakdown,fig2_execution_breakdown,AVG,TGS (%),workbook_a,exact_workbook_value,Sheet1!C26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,47.1,Explicit average cell from the author plotting workbook.,
AVG,fig2_execution_breakdown,fig2_execution_breakdown,AVG,MG (%),workbook_a,exact_workbook_value,Sheet1!D26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,4.7,Explicit average cell from the author plotting workbook.,
AVG,fig2_execution_breakdown,fig2_execution_breakdown,AVG,VMU (%),workbook_a,exact_workbook_value,Sheet1!E26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,33.0,Explicit average cell from the author plotting workbook.,
AVG,fig2_execution_breakdown,fig2_execution_breakdown,AVG,TA (%),workbook_a,exact_workbook_value,Sheet1!F26,b1435a8afb1f73b7049922076ab87c8a0d3822f6c7372ccb67044f153784177f,15.2,Explicit average cell from the author plotting workbook.,
WK,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:WK,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,79.4,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
MC,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:MC,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,73.3,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
RT,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:RT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,76.8,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
LM,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:LM,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,68.3,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
WT,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:WT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,88.6,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
GT,fig4a_branch_parallelism_ratio,fig4a_branch_parallelism_ratio,ALL,BPR (%),vector_fig4,vector_geometry_digitization,Fig.4(a) bar:GT,c97190cf681525f096318bf78da17ddedc9d0c440b8544665953c792405acf5f2,91.2,Digitized from the vector bar boundary and calibrated axis; rounded to 0.1 percentage point.,
WK,fig9b_gpu_overhead_breakdown,fig9b_gpu_overhead_breakdown,JODIE,Warp divergence,workbook_b,exact_workbook_value,Sheet1!J3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,38.2,Exact numeric cell from the author plotting workbook.,
WK,fig9b_gpu_overhead_breakdown,fig9b_gpu_overhead_breakdown,JODIE,Dependency synchronization,workbook_b,exact_workbook_value,Sheet1!K3,fb9c95a3e356b9e2c601c612941d7e66ee9c3fa7d1b92392c77ac57fa3d768cf,37.5,Exact numeric cell from the author plotting workbook.,
